"title","links"
" First day of President Xi state visit ","http://www.bbc.com/news/live/uk-34574590"
" How do the Chinese view UK politicians? ","http://www.bbc.com/news/uk-england-34586385"
" In pictures: China's President Xi Jinping on day one of the state visit ","http://www.bbc.com/news/uk-34586679"
" China and 'the Osborne Doctrine' ","http://www.bbc.com/news/world-asia-china-34539507"
" Must China's leader wear a bow tie to the Queen's banquet? ","http://www.bbc.com/news/magazine-34576551"
" Xi Jinping UK visit: History of China-British relations ","http://www.bbc.com/news/world-asia-china-34571946"
" Prince William records ivory trade speech as China's President Xi arrives ","http://www.bbc.com/news/uk-34568717"
" Yuwen Wu: What does China want from UK? ","http://www.bbc.com/news/blogs-china-blog-34574742"
" How China guards the Xi creation myth ","http://www.bbc.com/news/magazine-34549744"
" Why Indian author Perumal Murugan quit writing ","http://www.bbc.com/news/world-asia-india-30808747"
" Taiwan election: KMT nomination sets up battle of women ","http://www.bbc.com/news/world-asia-33586061"
" Taiwan President Ma Ying-jeou quits as Kuomintang chief ","http://www.bbc.com/news/world-asia-30288662"
" Taiwan’s ruling KMT faces tough challenges after big defeat ","http://www.bbc.com/news/world-asia-30280361"
" Taiwan cabinet resigns after local election defeat ","http://www.bbc.com/news/world-asia-30272271"
" Taiwan country profile ","http://www.bbc.com/news/world-asia-16164639"
" Lengthy election could be recipe for Canadian chaos ","http://www.bbc.com/news/world-us-canada-33765081"
" Canadian leaders gone wild in three-way debate battle ","http://www.bbc.com/news/world-us-canada-34294711"
" Is Stephen Harper 'Americanising' Canada? ","http://www.bbc.com/news/world-us-canada-34321263"
" Xi Jinping visit: UK-China ties 'will be lifted to new height' ","http://www.bbc.com/news/uk-34571436"
" Chinese President Xi Jinping arrives in UK ","http://www.bbc.com/news/uk-34571910"
" Chinese state visit: President Xi Jinping's first day in UK ","http://www.bbc.com/news/live/uk-34574590"
" China invests £5.2bn in UK projects ","http://www.bbc.com/news/business-34575039"
" George Osborne: 'China must be our number two export market' ","http://www.bbc.com/news/business-34327239"
" For Osborne, foreign policy is strictly business ","http://www.bbc.com/news/uk-politics-34389056"
" Amnesty's warning to Osborne over China links ","http://www.bbc.com/news/world-asia-china-34332692"
" China UK nuclear deal concerns ahead of Xi Jinping visit ","http://www.bbc.com/news/world-asia-34568432"
" China state visit: President 'won't shy' from human rights record ","http://www.bbc.com/news/uk-politics-34565591"
" Taiwan premier Jiang Yi-huah quits after poll loss ","http://www.bbc.com/news/world-asia-30259090"
" Taiwan: Chinese tourists flock to see elections ","http://www.bbc.com/news/blogs-news-from-elsewhere-30194773"
" Taiwan election: Future of Chinese relations at stake ","http://www.bbc.com/news/world-asia-30226455"
" Profile: Ma Ying-jeou ","http://www.bbc.com/news/world-asia-16381195"
" Legacy debate as Republic of China marks 100 years ","http://www.bbc.com/news/world-asia-pacific-15218596"
" Could Clinton emails shake up the 2016 Democratic race? ","http://www.bbc.com/news/blogs-echochambers-31717766"
" Hillary Clinton's 'emailgate' diced and sliced ","http://www.bbc.com/news/world-us-canada-31806907"
" Watching the US Republican debate with Canadians ","http://www.bbc.com/news/world-us-canada-34284258"
" What does China own in the UK? ","http://www.bbc.com/news/business-34542147"
" UK 'needs Chinese investment', ambassador says ","http://www.bbc.com/news/business-34566652"
" Osborne praised for 'not stressing human rights' in China ","http://www.bbc.com/news/world-asia-china-34356097"
" George Osborne announces UK-China trade target ","http://www.bbc.com/news/uk-34332679"
" Osborne's Xinjiang visit: a 'political coup' for China? ","http://www.bbc.com/news/world-asia-34332833"
" Can UK be China's best partner in the West? ","http://www.bbc.com/news/world-asia-china-34332824"
" 'China must be our number two export market' ","http://www.bbc.com/news/business-34325714"
" Osborne doubles his China bet ","http://www.bbc.com/news/business-34311675"
" Corbyn presses for human rights meeting with Chinese officials ","http://www.bbc.com/news/uk-politics-34531881"
" Prince Charles and his complex relationship with China ","http://www.bbc.com/news/uk-34541357"
" Why Taiwan is watching Hong Kong protests ","http://www.bbc.com/news/world-asia-29422233"
" Taiwan backs Ma, but unease over China remains ","http://www.bbc.com/news/world-asia-16563725"
