id,status_group
69572,functional
8776,functional
34310,functional
67743,non functional
19728,functional
9944,functional
19816,non functional
54551,non functional
53934,non functional
46144,functional
49056,functional
50409,functional
36957,functional
50495,functional
53752,functional
61848,functional
48451,non functional
58155,non functional
34169,functional needs repair
18274,functional
48375,functional
6091,functional
58500,functional needs repair
37862,functional
51058,functional
22308,functional needs repair
55012,functional
20145,functional
19685,non functional
69124,functional
46804,functional
6696,functional
57238,functional needs repair
12402,functional
41583,functional
57355,non functional
67359,non functional
60048,functional
16583,functional
25,non functional
70238,functional
12796,functional
52019,functional
19282,non functional
1843,functional needs repair
12958,non functional
45111,functional needs repair
13620,functional
18864,functional
25182,functional
3228,functional
19308,non functional
10745,functional
32376,non functional
9417,functional
68724,non functional
74197,functional
22961,non functional
24593,functional
31714,functional needs repair
29952,functional
40393,non functional
2127,functional needs repair
8265,non functional
67433,functional
51072,non functional
34255,functional
22108,non functional
4720,non functional
54801,non functional
21990,non functional
17386,non functional
41609,non functional
35715,non functional
53970,functional
62971,non functional
63542,functional
15622,functional
12903,non functional
52561,functional
19415,functional
65531,functional needs repair
3675,functional
34383,functional
30423,non functional
68717,non functional
3688,functional
30537,non functional
27312,non functional
22143,functional needs repair
43237,functional needs repair
62591,non functional
39920,non functional
70892,functional
48593,non functional
26419,functional
68554,non functional
29083,functional
33379,functional needs repair
43206,non functional
41743,non functional
17970,functional
25693,functional
39364,functional needs repair
57580,functional
23000,functional
59902,functional
60371,non functional
74246,non functional
7116,functional
64063,non functional
59983,functional
10784,functional
49503,functional
54248,non functional
24409,non functional
21068,functional
62341,non functional
10837,functional
35458,non functional
36038,non functional
64447,functional
22897,non functional
2915,functional
14016,functional
69525,non functional
73061,functional
42031,functional
33235,non functional
41839,non functional
62002,functional
6106,functional
25915,functional
20673,functional
59475,functional
24012,functional
69107,non functional
64062,non functional
44002,functional
37471,functional
49585,non functional
60852,functional
64130,non functional
17687,functional
38876,non functional
28669,functional
73769,functional needs repair
66521,functional
53167,non functional
24232,functional
65788,functional
72981,functional
60983,non functional
37768,non functional
64880,functional
32871,non functional
45564,functional
23519,functional needs repair
50173,functional
66843,functional
13815,functional
36591,non functional
71845,functional
42180,functional
63632,functional
55594,functional
11787,functional
48528,non functional
72678,functional
50970,functional
37840,functional
44258,non functional
10715,functional
12120,functional
67980,non functional
41635,functional
14884,functional
56725,non functional
33037,functional
22190,non functional
47459,functional
68908,functional
62670,functional
60866,non functional
2136,functional
33320,functional
58126,non functional
45604,functional
67428,functional needs repair
52318,functional
33347,non functional
36684,functional
41034,functional
112,non functional
4807,functional
41845,functional
6065,functional
37187,non functional
26540,non functional
8879,functional needs repair
30377,functional
20203,non functional
8060,functional
59630,functional
10068,functional needs repair
34609,non functional
26701,functional
46897,functional
34636,non functional
52520,functional
75,non functional
31626,non functional
3181,non functional
43098,non functional
37008,functional needs repair
34853,non functional
48752,functional needs repair
31132,functional
37562,functional
28740,functional needs repair
30257,functional
53212,functional needs repair
40729,non functional
48695,functional
35140,non functional
46814,functional
7721,functional
63695,functional
7171,functional
58838,functional
61046,functional
68347,non functional
14746,functional needs repair
14952,non functional
64334,non functional
72374,non functional
33169,non functional
4907,functional needs repair
49994,functional needs repair
59588,non functional
46893,non functional
16944,non functional
35828,non functional
24377,non functional
51694,functional
70241,non functional
1780,functional
39490,functional
21704,functional
35193,non functional
24948,functional
6076,functional
18451,non functional
13042,functional needs repair
34877,functional
10891,non functional
33500,non functional
1012,non functional
4321,functional
41162,non functional
31957,non functional
15815,non functional
47462,non functional
28110,non functional
52448,functional
18832,non functional
62720,functional needs repair
14326,functional
36933,functional
65093,functional
50139,non functional
36455,non functional
49732,functional
20200,functional
43777,functional
42497,non functional
52601,functional
65530,non functional
73024,functional
18842,functional needs repair
9474,functional
44434,functional
36366,functional
47236,non functional
8633,functional needs repair
71487,functional
46268,non functional
36093,functional
2591,functional
69669,non functional
67377,non functional
51185,non functional
24049,functional
70835,functional
74176,functional
68037,functional
10992,non functional
45886,non functional
64793,non functional
40808,non functional
62565,functional
70379,functional
10089,functional
37364,non functional
43345,functional
39310,non functional
59713,functional
28945,functional needs repair
5074,functional needs repair
54009,non functional
35563,non functional
17668,non functional
30390,non functional
1298,non functional
2993,non functional
63712,non functional
61979,functional
39704,non functional
29191,non functional
35649,functional needs repair
15840,functional needs repair
45415,functional needs repair
8055,functional
51403,non functional
33963,functional
21669,non functional
7900,functional
337,functional
17861,functional
13195,non functional
54722,non functional
2845,functional
17111,functional
21338,functional
49326,functional
15358,functional
33040,non functional
40592,non functional
29513,functional
51163,functional
40920,functional
65101,functional
21127,non functional
67822,functional
14135,functional
10458,non functional
32089,functional
8230,non functional
43433,functional
62188,functional
19,functional
26577,functional
68887,functional needs repair
9382,functional
65238,functional needs repair
17897,functional needs repair
29744,non functional
23987,functional needs repair
26655,non functional
17978,functional
51558,non functional
48007,non functional
25534,functional
13969,functional
39548,non functional
25143,functional
25736,functional
17516,functional
66980,functional
45444,functional
59310,functional
59102,functional
61883,functional
93,functional
15988,non functional
19304,non functional
44092,functional
66242,functional needs repair
51611,functional needs repair
53847,functional
67634,functional
24757,functional needs repair
37524,functional
16341,functional
39176,functional
24836,functional
73470,non functional
11533,non functional
74217,functional
7007,functional
4101,functional
17041,non functional
38725,functional
39749,non functional
62642,non functional
49453,functional
63018,functional
65932,non functional
56863,non functional
23835,functional
34870,non functional
39915,functional
9736,functional
70019,non functional
20984,non functional
20132,functional
5963,functional
3740,functional
26943,functional needs repair
43742,functional
5784,non functional
42548,non functional
5121,non functional
57478,functional
58537,functional needs repair
3627,non functional
4062,functional
15832,non functional
34741,functional
67097,functional
4437,functional
65817,functional
39559,non functional
54412,functional
25344,non functional
2301,non functional
32844,non functional
59874,non functional
50233,non functional
29639,functional
65584,functional
43808,non functional
6788,functional
51220,functional
16872,functional needs repair
66383,non functional
58599,functional
29383,non functional
36809,non functional
29753,functional
72112,non functional
34926,non functional
59898,functional needs repair
779,functional
68126,functional
48102,functional needs repair
24794,functional
29771,functional
29052,functional
4923,functional
38642,non functional
27079,functional
60111,functional
12478,non functional
67155,functional
54733,functional
45654,non functional
54678,functional
1439,functional
16313,functional
6735,functional
3328,non functional
1220,functional
57970,functional
44204,functional
63675,functional
40519,non functional
66382,functional
45386,non functional
43604,non functional
59053,functional
1030,non functional
52677,functional
1738,functional
19548,functional
30897,non functional
27523,functional
815,functional
14910,non functional
11184,functional
49071,functional needs repair
22000,functional
60074,functional needs repair
60374,non functional
25913,functional
6205,non functional
48390,non functional
3980,non functional
11905,functional
45320,non functional
31264,functional
16537,functional
9096,functional needs repair
33104,functional
11754,non functional
4147,non functional
53577,functional needs repair
42476,functional
68995,non functional
32255,non functional
8699,functional
1203,functional
70666,non functional
26293,non functional
44358,non functional
64687,non functional
71489,non functional
61994,functional
42306,non functional
67453,functional
11581,non functional
