"price","area","bedrooms"
399900,2104,3
329900,1600,3
369000,2400,3
232000,1416,2
539900,3000,4
299900,1985,4
314900,1534,3
198999,1427,3
212000,1380,3
242500,1494,3
239999,1940,4
347000,2000,3
329999,1890,3
699900,4478,5
259900,1268,3
449900,2300,4
299900,1320,2
199900,1236,3
499998,2609,4
599000,3031,4
252900,1767,3
255000,1888,2
242900,1604,3
259900,1962,4
573900,3890,3
249900,1100,3
464500,1458,3
469000,2526,3
475000,2200,3
299900,2637,3
349900,1839,2
169900,1000,1
314900,2040,4
579900,3137,3
285900,1811,4
249900,1437,3
229900,1239,3
345000,2132,4
549000,4215,4
287000,2162,4
368500,1664,2
329900,2238,3
314000,2567,4
299000,1200,3
179900,852,2
299900,1852,4
239500,1203,3
