"S","LPE","NP","ANH","TIC","Newborn"
0.86,0.69,4,105,4,1
0.52,0.98,4,209,2,0
0.84,0.6,5,207,2,0
0.6,0.65,3,143,2,1
0.85,0.57,3,227,2,0
0.82,0.61,4,246,3,0
0.62,0.53,3,128,4,0
0.69,0.8,3,219,3,1
0.88,0.68,5,236,3,0
0.36,0.65,5,119,5,0
0.77,0.9,3,188,3,0
0.91,0.67,3,206,2,1
0.37,0.69,5,124,4,0
0.6,0.52,3,139,4,0
0.93,0.78,3,155,3,0
0.68,0.57,3,248,3,0
0.58,0.52,3,199,2,0
0.51,0.5,3,258,3,0
0.49,0.79,3,234,3,0
0.91,0.7,5,194,2,0
0.69,0.75,5,196,3,1
0.83,0.9,5,223,3,0
0.97,0.96,4,214,3,0
0.59,0.99,5,132,2,1
0.65,0.49,5,165,2,1
0.43,0.41,6,127,3,0
0.72,0.59,2,270,2,0
0.67,0.61,3,157,2,1
0.9,0.82,5,209,3,1
0.69,0.48,5,223,4,0
0.28,0.64,4,147,3,0
0.92,0.63,3,152,3,1
0.48,0.76,4,182,3,0
0.83,0.93,3,264,3,0
0.97,0.44,2,138,6,0
0.66,0.67,4,204,4,1
0.86,0.59,3,227,2,1
0.22,0.41,2,248,3,0
0.61,0.56,3,196,2,0
0.56,0.9,4,253,4,1
0.62,0.67,4,259,2,0
0.8,0.53,4,160,3,0
0.2,0.75,4,248,3,0
0.34,0.45,4,153,3,1
0.86,0.87,4,193,3,0
0.5,0.83,6,184,3,0
0.75,0.95,4,177,3,0
0.64,0.61,3,99,2,0
0.98,0.49,4,224,3,0
0.55,0.92,5,169,4,0
0.66,0.49,4,245,4,0
0.24,0.99,6,178,5,1
0.37,0.49,2,150,4,1
0.61,0.42,2,192,3,0
0.88,0.83,5,194,3,1
0.67,0.89,3,257,3,0
0.95,0.73,3,286,6,0
0.6,0.94,3,272,4,0
0.62,0.47,5,110,3,0
0.65,0.56,3,157,2,0
0.97,0.6,5,128,3,0
0.89,0.69,4,215,3,0
0.95,0.93,3,189,3,0
0.74,0.46,5,141,2,0
0.44,0.6,3,188,6,0
0.99,0.79,4,150,6,0
0.97,0.78,4,175,4,0
0.56,0.63,3,196,2,0
0.95,0.63,3,217,3,0
0.86,0.7,6,191,5,0
0.65,0.76,5,200,3,0
0.62,0.69,4,226,3,0
0.53,0.7,2,261,6,0
0.8,0.5,3,241,2,0
0.88,0.53,4,203,3,0
0.23,0.78,5,244,4,0
0.66,0.43,2,189,2,0
0.7,0.94,4,249,3,1
0.52,0.63,4,204,6,0
0.54,0.98,5,191,2,0
0.73,0.89,4,138,4,1
0.76,0.6,4,155,2,0
0.61,0.66,5,180,2,0
0.82,0.81,4,168,4,0
0.98,0.47,5,131,6,0
0.62,0.47,2,110,2,0
0.15,0.84,5,281,4,1
0.93,0.82,4,173,3,1
0.59,0.58,5,220,2,1
0.65,0.83,4,203,3,1
0.9,0.97,3,174,2,0
1,0.72,5,209,4,0
0.92,0.52,3,209,3,0
0.88,0.56,4,260,3,0
0.88,0.96,4,134,3,0
0.8,0.81,3,271,2,1
0.49,0.94,5,250,2,0
0.75,0.86,4,132,3,0
0.83,1,4,168,2,0
0.55,0.65,5,134,2,1
0.88,0.71,5,187,3,0
0.82,0.74,5,217,2,0
0.76,0.62,4,253,3,0
0.67,0.82,4,218,4,0
0.16,0.57,4,125,4,0
0.49,0.69,3,188,4,0
0.56,0.73,4,250,4,1
0.62,0.9,4,267,4,1
0.72,0.87,3,250,2,1
0.49,0.98,4,255,4,0
0.72,0.71,5,160,3,1
0.52,0.62,3,149,2,1
0.53,0.87,5,192,3,0
0.54,0.98,3,223,3,0
0.9,0.54,3,152,4,0
0.84,0.78,4,179,3,1
0.75,0.72,4,256,3,0
1,0.8,4,256,2,0
0.96,0.64,3,139,2,0
0.81,0.58,3,213,2,1
0.64,0.71,5,150,2,0
0.63,0.44,4,188,5,0
0.57,0.98,3,250,3,0
0.21,0.56,4,221,4,0
0.19,0.88,4,160,4,0
0.86,0.69,2,203,3,0
0.49,0.61,3,273,2,1
0.62,0.49,3,172,3,0
0.17,0.92,4,227,3,0
0.99,0.58,3,261,3,0
0.8,0.88,5,244,2,0
0.55,0.75,3,261,4,0
0.54,0.56,2,199,3,0
0.58,0.7,3,135,2,0
0.97,0.95,3,271,5,0
0.74,0.82,3,223,2,0
0.64,0.7,4,247,3,0
0.96,0.44,2,172,3,0
0.55,0.99,5,211,3,1
0.73,0.53,3,248,3,0
0.52,0.8,3,270,3,0
0.73,0.71,4,241,5,0
0.73,0.89,3,206,2,1
0.89,0.5,2,250,3,0
0.76,0.62,5,178,3,1
0.31,0.9,3,189,4,1
0.17,0.9,6,145,4,0
0.59,0.7,4,138,2,0
0.58,0.57,3,106,3,0
0.55,0.98,5,219,3,0
0.6,0.64,3,237,4,0
0.94,0.88,3,270,2,0
0.97,0.84,5,182,3,0
0.73,0.88,4,189,3,1
0.95,0.66,3,157,4,0
0.97,0.98,5,247,3,1
0.66,0.63,3,264,2,0
0.71,0.62,4,160,2,1
0.51,0.72,5,138,3,0
0.73,0.79,3,162,3,1
0.42,0.9,3,183,2,0
0.77,0.93,4,188,3,0
0.88,0.82,3,264,3,0
0.54,0.68,3,186,3,0
0.93,0.65,5,255,2,0
0.68,0.55,4,146,2,0
0.29,0.63,6,214,3,0
0.99,0.89,4,220,3,0
0.5,0.44,4,121,6,0
0.5,0.79,5,106,5,1
0.5,0.95,5,151,2,1
0.15,0.69,3,272,5,0
0.53,0.9,4,236,3,0
0.62,0.54,4,269,3,1
0.94,0.54,3,161,5,0
0.62,0.53,4,96,4,1
0.58,0.53,2,98,3,0
0.87,0.71,4,140,2,0
0.52,0.42,4,110,2,1
0.75,0.37,5,168,2,0
0.99,0.79,4,201,3,0
0.5,0.48,3,155,3,0
0.61,0.63,3,133,3,0
0.78,0.61,5,148,2,0
0.97,0.69,2,194,3,0
0.5,0.89,4,148,3,0
0.58,0.66,4,138,2,0
0.65,0.7,3,267,3,1
0.53,0.92,6,113,4,0
0.66,0.62,5,180,3,1
0.76,0.91,5,206,3,0
0.84,0.99,3,171,3,0
0.64,0.69,4,274,3,0
0.52,0.53,2,223,3,1
0.44,0.45,5,271,4,0
0.27,0.85,4,139,4,0
0.83,0.61,5,274,3,1
0.81,0.5,4,210,3,0
0.91,0.68,6,158,4,0
0.53,0.79,4,214,3,0
0.42,0.74,3,231,5,0
0.81,0.78,3,270,4,1
0.99,0.53,3,165,4,0
0.96,0.87,5,212,4,0
0.64,0.82,4,265,3,0
0.14,0.74,4,261,3,0
0.89,0.67,4,244,2,0
0.59,0.64,3,161,2,1
0.16,0.58,5,168,4,1
0.5,0.63,3,141,3,1
0.79,0.75,3,243,3,0
0.81,0.38,4,227,3,0
0.6,0.8,2,237,3,0
0.95,0.75,3,260,3,0
0.62,0.69,3,198,2,1
0.84,0.74,3,260,2,0
0.23,0.69,6,169,5,0
0.92,0.51,3,249,2,1
0.56,0.48,4,257,2,0
0.71,0.8,2,208,3,0
0.69,0.76,3,203,2,0
0.74,0.77,4,265,3,1
0.21,0.61,5,250,4,0
0.89,0.93,2,269,3,0
0.55,0.58,3,150,3,0
0.51,0.59,3,254,2,0
0.48,0.79,3,206,3,0
0.76,0.52,3,242,2,0
0.67,0.65,4,180,3,0
0.54,0.96,4,125,3,0
0.24,0.38,5,244,2,1
0.7,0.64,3,158,3,0
0.78,0.81,5,174,2,0
0.89,0.86,4,246,3,1
0.24,0.82,3,209,6,0
0.94,0.52,3,267,3,0
0.74,0.57,4,202,3,1
0.74,0.52,5,245,4,0
0.56,0.59,4,248,2,0
0.42,0.88,6,165,6,0
1,0.96,5,193,2,0
0.84,0.62,2,205,4,1
0.82,0.7,3,144,2,0
0.53,0.95,4,213,2,0
0.88,0.49,5,228,2,0
0.88,0.56,4,222,3,0
0.2,0.62,5,206,4,0
0.56,0.58,3,158,3,0
0.97,0.81,3,229,3,0
0.8,0.51,4,244,2,0
0.59,0.58,2,274,2,0
0.66,0.52,4,224,3,0
0.86,0.56,3,181,3,1
0.95,0.89,5,238,2,0
0.73,0.48,4,259,3,0
0.8,0.91,3,176,3,0
0.69,0.47,4,142,6,0
1,0.94,3,160,2,0
0.93,0.96,6,192,3,0
0.6,0.58,4,259,3,0
0.73,0.89,5,194,4,0
0.64,0.85,4,133,3,0
0.74,0.92,5,162,2,0
0.59,0.63,4,160,2,0
0.63,0.68,3,264,2,0
0.54,0.94,3,135,4,1
0.49,0.72,2,169,2,1
