id,name,latitude,longitude,dpcapacity,landmark,online date
5,State St & Harrison St,41.87395806,-87.62773949,19,30,6/28/2013
13,Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19,66,6/28/2013
14,Morgan St & 18th St,41.858086,-87.651073,15,163,6/28/2013
15,Racine Ave & 18th St,41.85818061,-87.65648665,15,164,6/28/2013
16,Wood St & North Ave,41.910329,-87.672516,15,223,8/12/2013
17,Wood St & Division St,41.90332,-87.67273,15,246,6/28/2013
19,Loomis St & Taylor St,41.869417,-87.660996,15,139,6/28/2013
20,Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15,154,6/28/2013
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15,157,6/28/2013
22,May St & Taylor St,41.8694821,-87.6554864,15,160,6/28/2013
23,Orleans St & Elm St,41.902924,-87.637715,15,172,6/28/2013
24,Fairbanks Ct & Grand Ave,41.89186,-87.62062,15,262,6/28/2013
25,Michigan Ave & Pearson St,41.89766,-87.62351,23,34,6/28/2013
26,McClurg Ct & Illinois St,41.89102,-87.6173,23,51,6/28/2013
27,Larrabee St & North Ave,41.91021,-87.6435,19,174,6/28/2013
28,Larrabee St & Menomonee St,41.91468,-87.64332,15,282,6/28/2013
29,Noble St & Milwaukee Ave,41.90068,-87.6626,15,290,6/28/2013
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,15,248,6/28/2013
31,Franklin St & Chicago Ave,41.89680204,-87.63563839,23,17,6/28/2013
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,19,76,6/28/2013
33,State St & Van Buren St,41.877181,-87.627844,27,3,6/28/2013
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15,124,6/28/2013
35,Streeter Dr & Illinois St,41.891071,-87.6122,35,22,8/5/2013
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,27,19,6/28/2013
37,Dearborn St & Adams St,41.87935636,-87.62979104,19,20,6/28/2013
42,Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15,170,6/28/2013
43,Michigan Ave & Washington St,41.88389277,-87.62464914,43,1,6/28/2013
44,State St & Randolph St,41.8847302,-87.62773357,27,2,6/28/2013
