OrderId,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
262,1/11/09,47, $50.67 ,TRQKD,2,1/12/09
278,1/20/09,47, $26.60 ,4HH2S,3,1/20/09
294,2/3/09,47, $38.71 ,3TRDC,2,2/4/09
301,2/6/09,47, $53.38 ,NGAZJ,2,2/9/09
302,2/6/09,47, $14.28 ,FFYHD,2,2/9/09
321,2/17/09,47, $29.50 ,HA5R3,3,2/17/09
333,2/23/09,47, $18.91 ,RSXQG,2,2/23/09
341,3/1/09,47, $64.41 ,KHBDJ,3,3/3/09
353,3/9/09,47, $18.03 ,T7SUN,3,3/10/09
373,3/17/09,47, $25.55 ,KMF5X,3,3/17/09
376,3/17/09,47, $13.64 ,R57V3,3,3/19/09
386,3/24/09,47, $47.83 ,CSH73,3,3/24/09
398,3/31/09,47, $42.14 ,3VYSW,3,3/31/09
431,4/14/09,47, $21.73 ,XG5NT,3,4/14/09
441,4/16/09,47, $21.73 ,JKME3,3,4/16/09
467,4/23/09,47, $17.97 ,WVGR5,3,4/23/09
493,4/28/09,47, $28.85 ,ARYQJ,3,4/28/09
494,4/28/09,47, $7.15 ,QAM9C,3,4/28/09
517,5/1/09,47, $57.75 ,CGHAJ,5,5/1/09
525,5/4/09,47, $40.98 ,MCDJE,3,5/5/09
567,5/12/09,47, $14.93 ,NPVQQ,3,5/14/09
575,5/14/09,47, $14.32 ,2T727,3,5/14/09
598,5/19/09,47, $40.76 ,ZNDAZ,3,5/19/09
635,5/26/09,47, $83.41 ,V8TCD,3,5/26/09
664,6/1/09,47, $47.39 ,N2MN4,3,6/2/09
688,6/5/09,47, $16.76 ,SQ7AG,5,6/5/09
720,6/12/09,47, $26.71 ,VVJMZ,3,6/16/09
732,6/16/09,47, $18.66 ,NHPKJ,3,6/16/09
775,6/23/09,47, $46.65 ,YGFQ6,4,6/23/09
828,7/2/09,47, $20.27 ,XJMBR,6,7/2/09
838,7/6/09,47, $44.88 ,J23JH,3,7/7/09
848,7/8/09,47, $17.61 ,%%848,6,7/9/09
878,7/13/09,47, $23.15 ,VLQ77,3,7/14/09
916,7/19/09,47, $71.09 ,F72ZW,4,7/21/09
947,7/24/09,47, $50.66 ,3TP9K,5,7/24/09
978,7/30/09,47, $69.11 ,DBZ6E,4,7/30/09
979,7/30/09,47, $41.00 ,58SYL,4,7/30/09
1033,8/10/09,47, $51.42 ,CM6L8,4,8/11/09
1034,8/10/09,47, $14.76 ,HVXWJ,4,8/11/09
1037,8/10/09,47, $15.64 ,AEBZD,4,8/11/09
1075,8/18/09,47, $12.96 ,JHBNK,4,8/18/09
1111,8/25/09,47, $50.29 ,2GGH5,4,8/25/09
1112,8/25/09,47, $4.09 ,NLKBN,4,8/25/09
1119,8/25/09,47, $3.08 ,9N4VG,4,8/25/09
1152,8/28/09,47, $66.25 ,ZZU7D,5,8/28/09
1154,8/28/09,47, $7.56 ,2JMWF,5,8/28/09
1168,9/2/09,47, $70.13 ,6NXDE,4,9/3/09
1179,9/3/09,47, $12.27 ,6APEY,6,9/3/09
1197,9/7/09,47, $106.89 ,AAN8Z,4,9/8/09
1262,9/17/09,47, $92.51 ,4FMPS,5,9/18/09
1279,9/21/09,47, $40.13 ,3VX2D,4,9/24/09
1333,9/29/09,47, $61.74 ,CWNDD,4,10/1/09
1363,10/5/09,47, $51.78 ,HR52A,4,10/6/09
1400,10/11/09,47, $3.74 ,J3C69,3,10/13/09
1466,10/20/09,47, $40.11 ,ND8EH,4,10/20/09
1525,10/26/09,47, $45.48 ,MG664,4,10/27/09
1614,11/5/09,47, $41.78 ,BPM84,4,11/5/09
1740,11/12/09,47, $23.10 ,C39Z5,4,11/12/09
1803,11/17/09,47, $48.25 ,UX8D5,4,11/18/09
1813,11/18/09,47, $5.00 ,AVRXH,4,11/18/09
1888,11/29/09,47, $60.14 ,FVLDA,4,11/30/09
1950,12/6/09,47, $70.72 ,5K5WS,4,12/7/09
2049,12/14/09,47, $172.53 ,HRKLH,4,12/15/09
2191,1/3/10,47, $62.35 ,KWXTB,4,1/4/10
2204,1/4/10,47, $18.39 ,W3T85,4,1/4/10
2451,1/24/10,47, $52.03 ,Y65RC,18,1/25/10
2579,1/31/10,47, $47.63 ,J5QKP,18,2/1/10
2580,1/31/10,47, $23.63 ,GACF2,18,2/1/10
2593,2/1/10,47, $6.64 ,PKE4X,18,2/1/10
2873,2/16/10,47, $79.91 ,G8QYA,9,2/17/10
2953,2/22/10,47, $51.15 ,CC6TG,18,2/22/10
2997,2/23/10,47, $27.97 ,ZCSXX,15,2/26/10
3037,2/25/10,47, $15.50 ,HG86F,15,2/26/10
3082,3/1/10,47, $48.15 ,P98FG,18,3/1/10
3109,3/2/10,47, $34.13 ,4PFP8,3,3/2/10
3178,3/5/10,47, $7.22 ,GWR53,15,3/5/10
360,3/10/09,95, $7.47 ,FTM95,3,3/10/09
414,4/7/09,95, $3.68 ,ARQ3F,3,4/9/09
292,1/29/09,98, $16.96 ,ZLNHR,3,1/29/09
316,2/16/09,98, $6.74 ,GYTPJ,2,2/16/09
344,3/3/09,98, $3.68 ,FUUH8,2,3/4/09
375,3/17/09,98, $4.09 ,N88FP,3,3/24/09
377,3/18/09,98, $3.59 ,C6T6S,3,3/19/09
378,3/18/09,98, $3.59 ,E745K,3,3/19/09
403,4/1/09,98, $2.03 ,SU6DX,3,4/2/09
421,4/10/09,98, $3.59 ,X5ZJG,3,4/16/09
422,4/10/09,98, $5.11 ,D2CJG,5,4/17/09
527,5/5/09,98, $3.59 ,%%527,3,5/5/09
